Sample.,PTID,SAMPLE_ID,TimePoint,STIM,Tissue,Subset,CD4,CD8ab,CD8aa
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,IL-2,1.899,1.382,2.94
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,IL-2,1.75,0.399,0.872
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,IL-17A,0.113,0.04,0.084
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,IL-17A,0.124,0.017,0.044
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,IL-17A,1.398,0.49,1.476
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,IL-17A,0.65,0.54,0.58
SEDXX5_BAL_wk8_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk8_MtbL,W8,Mtb_lysate,BAL,CD107a,0.143,0.103,0.108
SEDXX2_BAL_8wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk8_MtbL,W8,Mtb_lysate,BAL,CD107a,0.16,0.21,0.2
SEDXX6_BAL_8wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk8_MtbL,W8,Mtb_lysate,BAL,CD107a,1.41,1.67,1.84
SEDXX7_BAL_8wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk8_MtbL,W8,Mtb_lysate,BAL,CD107a,0,0,0
